logged_at_utc,symbol,bias,grade,rejection_level,rejection_price,swept,prior_day_high,prior_day_low,bos_broken_level,bos_confirming_close,bos_time
2026-08-28T14:02:38.668167+00:00,GBPUSD.m,bearish,A,Prior Day High,1.36021,,1.36021,1.35702,1.35702,1.35625,2026-08-28 16:00:00
2026-08-28T14:05:39.986061+00:00,XAUUSD.m,bearish,A,Prior Day High,4643.03,,4643.03,4565.11,4565.11,4564.98,2026-08-28 16:00:00
2026-08-28T17:06:59.956731+00:00,JP225.std,bearish,A,Prior Day High,67321.0,,67321.0,65671.0,65671.0,65669.0,2026-08-28 20:00:00
2026-08-29T08:29:05.054549+00:00,GBPUSD.m,bearish,A,Prior Day High,1.36021,2026-08-27 00:00:00,,1.36021,1.35702,1.35702,1.35366,2026-08-28 16:00:00
2026-08-29T08:29:06.185753+00:00,XAUUSD.m,bearish,A,Prior Day High,4643.03,2026-08-27 00:00:00,,4643.03,4565.11,4565.11,4479.41,2026-08-28 16:00:00
